175 , 0.0283188 , 0.6158217 , -0.0858133 , 0.5870328
176 , 0.1632406 , 0.0045527 , -0.2725535 , 0.0968335
177 , 0.0407050 , 0.4695537 , -0.1677803 , 0.3492374
178 , 0.0583153 , 0.3101075 , -0.3934838 , 0.0106021
179 , 0.0514014 , 0.4071204 , -0.2249340 , 0.0926399
17 , -0.0646513 , 0.2780868 , 0.1879943 , 0.1987302
180 , 0.0893499 , 0.1146030 , -0.1586186 , 0.3621060
181 , 0.0325264 , 0.5602416 , 0.0186120 , 0.9116056
182 , 0.0738404 , 0.1816418 , -0.1842330 , 0.3123511
183 , -0.0849634 , 0.1704658 , 0.1080584 , 0.4140841
184 , -0.0406247 , 0.4711780 , 0.2763887 , 0.1820916
185 , 0.1386491 , 0.0172710 , -0.3211340 , 0.0342266
186 , 0.0424905 , 0.4754230 , 0.0227094 , 0.8745716
187 , 0.0542209 , 0.3351619 , -0.2182042 , 0.1876579
188 , 0.0233920 , 0.6913832 , -0.2395412 , 0.1458830
189 , 0.0731529 , 0.2322085 , -0.3136177 , 0.0155020
18 , 0.0296044 , 0.5946596 , -0.1592171 , 0.3173434
190 , -0.0299532 , 0.5962035 , 0.2034384 , 0.2270501
191 , 0.0909771 , 0.1125777 , -0.3282328 , 0.0405016
192 , 0.1265764 , 0.0321398 , -0.4450299 , 0.0005318
193 , 0.0981791 , 0.0913680 , -0.4037217 , 0.0088719
194 , 0.0781377 , 0.1598545 , 0.0873311 , 0.7060130
195 , -0.0069356 , 0.9074342 , 0.2591786 , 0.0748902
196 , -0.0006161 , 0.9919419 , 0.0949058 , 0.5181260
197 , -0.0756877 , 0.2179858 , 0.2622071 , 0.0707565
198 , 0.0143299 , 0.8007989 , 0.2125408 , 0.2728904
199 , 0.0850085 , 0.1511485 , 0.0775751 , 0.6533393
19 , -0.1691554 , 0.0046055 , 0.3174825 , 0.0131580
1 , -0.0394779 , 0.5011388 , 0.2373830 , 0.1094988
200 , -0.0029195 , 0.9585134 , 0.1516875 , 0.4251513
20 , -0.0968123 , 0.0986337 , 0.2121511 , 0.1851640
21 , 0.0151351 , 0.8042468 , -0.1810386 , 0.2059562
22 , -0.1277778 , 0.0220816 , 0.4335834 , 0.0182999
23 , -0.0509738 , 0.4004489 , 0.0527686 , 0.7029823
24 , 0.0268494 , 0.6446127 , -0.1218461 , 0.4034000
25 , -0.0853241 , 0.1228178 , 0.5207560 , 0.0460007
26 , -0.1114565 , 0.0438812 , 0.4736087 , 0.0126649
27 , -0.0728794 , 0.2286544 , 0.1497444 , 0.2199131
28 , 0.0009720 , 0.9857724 , -0.1077605 , 0.5087351
29 , -0.1134968 , 0.0617291 , 0.3465816 , 0.0214014
